Entity,Year,UDel_temp_popweight,UDel_max,UDel_min,UDel_var,UDel_mean,UDel_mean_2,UDel_prcp_max,UDel_prcp_min,UDel_prcp_var,UDel_prcp_mean,UDel_prcp_mean_2,UDel_precip_popweight
Panama,2010,25.8500000000,27.2389766100,23.4700800500,1.3473267000,25.7766569400,664.4360430000,52.0215311400,6.1429250430,287.4753650000,29.9713361700,898.2809919000,3650.9500000000
Panama,2011,,26.3047795400,24.5644550400,0.2844064600,25.3430756000,642.2714807000,46.1479692300,6.1604213240,171.8702396000,22.9714184500,527.6860656000,
Panama,2012,,26.5370995700,25.2820165500,0.1386376700,25.7670414500,663.9404252000,41.7391920500,2.6312127780,209.1863472000,23.5787440800,555.9571725000,
Panama,2013,,26.8905297400,25.3758394800,0.2252573830,25.9611438900,673.9809922000,37.6313716900,2.4907398670,160.2087693000,20.8081553100,432.9793276000,
Poland,1971,7.6600000000,18.6244511700,-4.1443082390,63.1458973200,7.7789294170,60.5117428700,10.8291329400,1.8206763010,4.9497721540,4.5033008760,20.2797187800,537.0100000000
Poland,1972,7.6400000000,19.7057467000,-7.5307971590,70.4640881100,7.7049140270,59.3657001700,11.3667849400,0.3970625780,12.9185989400,5.0887894840,25.8957784200,612.1400000000
Poland,1973,7.8000000000,17.8590080800,-2.0175161550,55.6270289200,7.7916296770,60.7094930300,9.8250032200,1.7815752370,5.2003179120,4.5655024690,20.8438127900,545.7800000000
Poland,1974,8.5400000000,18.2688760800,-0.5886387210,37.2891499000,8.3770749440,70.1753846300,15.1491140200,0.6004481250,18.0141741500,6.2322320110,38.8407158400,758.6100000000
Poland,1975,8.5800000000,18.8724357600,-1.2515867690,57.7189368500,8.6576256230,74.9544814300,10.3804700100,1.6465796230,7.5139371940,4.7876029650,22.9211421500,548.9700000000
Poland,1976,7.0800000000,18.3671567000,-3.3061447250,61.8660899500,7.0879637400,50.2392299900,7.5618390740,0.6082741900,4.8655615360,4.6184128910,21.3297376300,538.0600000000
Poland,1977,8.1100000000,16.4614577800,-2.3160545100,45.2803723200,8.0770787010,65.2392003500,9.8245850610,1.6152776970,5.5883265250,5.4821922760,30.0544321500,668.6800000000
Poland,1978,7.0300000000,16.2505860100,-4.3874697320,55.1885485400,7.0461028310,49.6475651100,11.5860361500,1.6514566690,8.1819327980,5.4294578600,29.4790126600,624.0300000000
Poland,1979,7.0700000000,18.5756050100,-6.9450653870,74.9367610900,7.1351768750,50.9107490400,8.1072245310,2.4726622260,3.0938660070,5.0569565530,25.5728095800,584.7400000000
Poland,1980,6.6600000000,16.2728810500,-6.0988519910,61.1992016200,6.6110339340,43.7057696800,13.9470728900,1.6660699570,14.9375469400,5.7266289730,32.7942793900,688.4700000000
Poland,1981,7.7100000000,17.8451819500,-4.7029499330,68.2089673200,7.6895711310,59.1295041900,10.6025287500,2.3890624490,6.4955696270,6.0478532450,36.5765288700,718.8200000000
Poland,1982,8.3600000000,18.6409862500,-4.6762431540,65.5522599600,8.3031566390,68.9424101700,5.0861755320,0.7566601580,1.8258342900,2.6938851550,7.2570172270,323.0100000000
Poland,1983,8.8400000000,19.4541921500,-3.5836557630,62.1468869400,8.8345014020,78.0484150100,5.4980087500,1.5911396370,1.4363682720,3.2616378390,10.6382813900,388.1300000000
Poland,1984,8.0000000000,17.1541828600,-2.2955801180,53.7453997500,7.8355024210,61.3950981900,6.0053035930,1.0256995270,4.7453206160,3.1013958390,9.6186561480,371.3400000000
Poland,1985,6.8100000000,17.8176713400,-9.0226124400,88.4512864300,6.6547266830,44.2853872300,7.7528677040,1.2319205100,4.7935217370,3.7436253270,14.0147305900,437.7200000000
Poland,1986,7.1900000000,17.7390008400,-9.5888171640,75.0320243000,7.2513943610,52.5827201800,6.1526059950,0.8355523480,2.8550231500,2.9085971490,8.4599373760,350.8700000000
Poland,1987,6.5000000000,17.8913112800,-11.3906141100,81.1177214200,6.4333711270,41.3882640600,8.0695794650,2.0065406950,3.7168476890,4.7464465020,22.5287544000,577.8900000000
Poland,1988,8.0900000000,19.0748566800,-0.8207116050,58.1266890800,8.1081529360,65.7421440300,8.3068065850,1.2939235400,4.9556518360,4.5786680220,20.9642008500,553.2400000000
Poland,1989,9.3700000000,18.2620226700,0.9705908400,43.0872712600,9.2281939350,85.1595632900,8.5507393110,1.3444152660,3.9125735790,4.0755155280,16.6098268200,499.5300000000
Poland,1990,8.8900000000,17.3271911100,-0.6113389140,36.6560315400,8.9346877880,79.8286458700,8.7367896410,1.7434014740,4.6993615290,4.7207599530,22.2855745400,577.6200000000
Poland,1991,7.7400000000,18.7711653700,-4.2917263990,57.6099243300,7.6415023220,58.3925577400,8.4641901890,1.6666852620,4.0798026590,4.2706536910,18.2384829500,518.2400000000
Poland,1992,8.6000000000,20.8197704800,-0.9472362830,63.6032451900,8.6414504600,74.6746660600,6.5309604690,2.6053208410,1.2084961390,4.6575049190,21.6923520700,564.6600000000
